                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.62963,                0.34329,                0.91469,                0.99777,                      1,                  0.995,                0.78629,                0.95804,                0.35151,                 1.0566,              0.0010298,              0.0010298,              0.0010298
                     51,                0.61716,                0.34432,                0.91029,                0.99775,                      1,                  0.995,                0.78976,                0.95273,                0.36162,                 1.0145,                0.00101,                0.00101,                0.00101
                     52,                0.59264,                0.33957,                0.90828,                0.99776,                      1,                  0.995,                0.75447,                 1.0388,                0.39046,                  1.108,              0.0009902,              0.0009902,              0.0009902
                     53,                0.62465,                0.35927,                0.91358,                0.99557,                      1,                  0.995,                0.75283,                 1.0579,                0.37325,                 1.1127,              0.0009704,              0.0009704,              0.0009704
                     54,                 0.5994,                0.33141,                0.89694,                0.99773,                      1,                  0.995,                0.68476,                 1.2123,                0.39901,                 1.2089,              0.0009506,              0.0009506,              0.0009506
                     55,                0.60369,                0.33178,                0.90686,                0.99776,                      1,                  0.995,                0.83043,                0.74741,                0.31862,                0.95447,              0.0009308,              0.0009308,              0.0009308
                     56,                0.63351,                0.33718,                0.90559,                 0.9977,                      1,                  0.995,                0.86737,                0.66329,                0.28565,                0.91464,               0.000911,               0.000911,               0.000911
                     57,                0.60937,                0.34017,                0.91061,                0.99773,                      1,                  0.995,                0.79324,                0.86498,                0.32822,                 1.0231,              0.0008912,              0.0008912,              0.0008912
                     58,                 0.5753,                0.31169,                0.89286,                0.99778,                      1,                  0.995,                0.77896,                0.88292,                 0.3236,                 1.0555,              0.0008714,              0.0008714,              0.0008714
                     59,                0.58255,                0.32792,                0.90383,                0.99779,                      1,                  0.995,                0.83103,                0.77112,                0.30631,                 0.9555,              0.0008516,              0.0008516,              0.0008516
                     60,                0.57995,                0.33333,                0.90089,                0.99774,                      1,                  0.995,                0.75357,                  1.087,                  0.372,                 1.1277,              0.0008318,              0.0008318,              0.0008318
                     61,                 0.5399,                0.30528,                 0.8947,                 0.9978,                      1,                  0.995,                0.80016,                0.82602,                0.31453,                0.96453,               0.000812,               0.000812,               0.000812
                     62,                0.55634,                0.32046,                0.89887,                0.99773,                      1,                  0.995,                 0.8669,                0.76067,                0.30257,                0.95716,              0.0007922,              0.0007922,              0.0007922
                     63,                0.57584,                0.31697,                0.89888,                 0.9978,                      1,                  0.995,                 0.8502,                0.76505,                0.32536,                0.97028,              0.0007724,              0.0007724,              0.0007724
                     64,                0.55835,                0.29737,                0.89105,                0.99781,                      1,                  0.995,                0.83317,                0.76314,                0.30128,                 0.9759,              0.0007526,              0.0007526,              0.0007526
                     65,                0.57429,                0.31112,                0.89421,                0.99774,                      1,                  0.995,                 0.8452,                0.70689,                0.30465,                0.91497,              0.0007328,              0.0007328,              0.0007328
                     66,                0.56243,                0.30368,                0.89086,                0.99774,                      1,                  0.995,                0.83642,                0.70887,                0.29873,                 0.9749,               0.000713,               0.000713,               0.000713
                     67,                0.57266,                 0.3146,                0.88605,                0.99776,                      1,                  0.995,                0.81881,                0.80346,                0.31279,                 1.0185,              0.0006932,              0.0006932,              0.0006932
                     68,                0.56147,                0.30915,                0.89543,                 0.9978,                      1,                  0.995,                0.77181,                 0.9382,                0.34179,                 1.0344,              0.0006734,              0.0006734,              0.0006734
                     69,                0.53896,                0.29899,                0.88624,                0.99779,                      1,                  0.995,                0.79644,                0.77951,                0.30528,                0.97785,              0.0006536,              0.0006536,              0.0006536
                     70,                0.54228,                0.29733,                0.88612,                0.99781,                      1,                  0.995,                0.81749,                0.74449,                 0.2836,                0.96255,              0.0006338,              0.0006338,              0.0006338
                     71,                0.54628,                0.29848,                0.89002,                0.99781,                      1,                  0.995,                0.82562,                0.74047,                 0.2945,                0.95728,               0.000614,               0.000614,               0.000614
                     72,                0.54425,                0.29902,                0.89148,                 0.9978,                      1,                  0.995,                0.86398,                0.70006,                0.28269,                0.94658,              0.0005942,              0.0005942,              0.0005942
                     73,                0.53506,                0.29826,                0.88114,                0.99784,                      1,                  0.995,                 0.7641,                 0.9772,                0.36242,                 1.0962,              0.0005744,              0.0005744,              0.0005744
                     74,                0.52237,                0.28968,                0.87849,                0.99778,                      1,                  0.995,                0.81314,                0.80818,                0.31397,                0.99396,              0.0005546,              0.0005546,              0.0005546
                     75,                 0.5255,                0.29583,                0.88084,                0.99782,                      1,                  0.995,                0.84935,                0.68218,                0.27534,                0.91999,              0.0005348,              0.0005348,              0.0005348
                     76,                0.51301,                0.28458,                0.87683,                0.99781,                      1,                  0.995,                0.84116,                0.67419,                0.27931,                0.91078,               0.000515,               0.000515,               0.000515
                     77,                0.53027,                0.29077,                0.89068,                0.99782,                      1,                  0.995,                0.87248,                0.62665,                0.27529,                0.89863,              0.0004952,              0.0004952,              0.0004952
                     78,                0.51909,                0.28957,                0.88081,                 0.9978,                      1,                  0.995,                0.84031,                0.68152,                0.26908,                0.92527,              0.0004754,              0.0004754,              0.0004754
                     79,                0.51515,                0.29478,                0.88446,                0.99778,                      1,                  0.995,                0.84295,                0.74792,                0.30447,                0.96826,              0.0004556,              0.0004556,              0.0004556
